Club,Last Name,First Name,Position,2015 Base Salary,2015 Guaranteed Compensation
TOR,Morgan,Ashtone,D,100000,112000
TOR,Morrow,Justin,D,170000,179562
TOR,Osorio,Jonathan,M,145000,152599
TOR,Perquis,Damien,D,323000,372500
TOR,Roberts,Quillan,GK,60000,60000
TOR,Simonin,Clement,D,50000,50000
TOR,Warner,Collen,M-F,129937,157437
TOR,Zavaleta,Eriq,F,85000,115600
VAN,Adekugbe,Samuel,D,60000,65000
VAN,Beitashour,Steven,D,190000,197166
VAN,Bustos,Marcos,M,50000,54850
VAN,Carducci,Marco,GK,60000,60000
VAN,Clarke,Caleb,F,60000,60000
VAN,Dean,Christian,D,95000,176000
VAN,Earnshaw,Robert,F,100000,100000
VAN,Flores,Deybi,M,60000,60000
VAN,Froese,Kianz,M-F,60000,64500
VAN,Harvey,Jordan,D,150000,150000
VAN,Hurtado,Erik,F/M,78265,113265
VAN,Kah,Pa Modou,D,170000,170000
VAN,Koffie,Gershon,M,230000,241000
VAN,Laba,Matias,M,325000,325000
VAN,Lewis,Andre,M,60000,65000
VAN,Manneh,Kekuta,F,84375,113875
VAN,Mattocks,Darren,F,180000,272000
VAN,McKendry,Ben,M,50000,50000
VAN,Mezquida,Nicolas,M-F,80000,80000
VAN,Morales,Pedro,M,1190000,1410900
VAN,Ousted,David,GK,286000,302570
VAN,Parker,Tim,D,60000,78750
VAN,Rivero,Octavio,F,890850,890850
VAN,Rodriguez,Diego,D,124000,165750
VAN,Rosales,Mauro,M,215000,265000
VAN,Sampson,Ethen,D,60000,60000
VAN,Techera,Cristian,F,60000,85000
VAN,Teibert,Russell,M,100000,167500
VAN,Tornaghi,Paolo,GK,80000,80000
VAN,Waston,Kendall,D,225000,226250
,Hurtado,Jhon Kennedy,D,230000,230000
,Lochhead,Tony,D,134375,134375
,Smith,Blake,M,60000,93750
